timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673924761821,2927,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-972,text,false,,80,0,1000,1000,null,0,0,2927
1673924761279,3469,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-430,text,false,,80,0,1000,1000,null,0,0,3469
1673924761330,3420,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-476,text,false,,80,0,1000,1000,null,0,0,3420
1673924761332,3416,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-483,text,false,,80,0,1000,1000,null,0,0,3416
1673924761514,3236,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-666,text,false,,80,0,1000,1000,null,0,0,3236
1673924761567,3199,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-693,text,false,,80,0,995,995,null,0,0,3199
1673924761566,3202,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-685,text,false,,80,0,994,994,null,0,0,3202
1673924761523,3248,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-670,text,false,,80,0,993,993,null,0,0,3248
1673924761564,3209,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-673,text,false,,80,0,992,992,null,0,0,3209
1673924761566,3220,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-686,text,false,,80,0,991,991,null,0,0,3220
1673924761712,3159,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-863,text,false,,80,0,990,990,null,0,0,3159
1673924761608,3267,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-746,text,false,,80,0,989,989,null,0,0,3267
1673924761575,3300,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-715,text,false,,80,0,989,989,null,0,0,3300
1673924761328,3558,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-472,text,false,,80,0,987,987,null,0,0,3558
1673924761414,3472,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-506,text,false,,80,0,987,987,null,0,0,3472
1673924761709,3177,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-858,text,false,,80,0,987,987,null,0,0,3177
1673924761568,3318,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-713,text,false,,80,0,987,987,null,0,0,3318
1673924761819,3078,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-939,text,false,,80,0,983,983,null,0,0,3078
1673924761633,3283,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-782,text,false,,80,0,982,982,null,0,0,3283
1673924761829,3088,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-979,text,false,,80,0,981,981,null,0,0,3088
1673924761830,3101,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-980,text,false,,80,0,980,980,null,0,0,3101
1673924761408,3523,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-531,text,false,,80,0,980,980,null,0,0,3523
1673924761341,3590,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-485,text,false,,80,0,980,980,null,0,0,3590
1673924761987,2959,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-953,text,false,,80,0,977,977,null,0,0,2959
1673924761567,3379,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-702,text,false,,80,0,977,977,null,0,0,3379
1673924761987,2959,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-949,text,false,,80,0,977,977,null,0,0,2959
1673924761568,3393,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-710,text,false,,80,0,974,974,null,0,0,3393
1673924761031,3931,Select Statement,null 0,java.sql.SQLException: Error preloading the connection pool,RDCD 1-183,text,false,,36,0,973,973,null,0,0,3931
1673924761623,3360,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-774,text,false,,80,0,972,972,null,0,0,3360
1673924761619,3364,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-739,text,false,,80,0,972,972,null,0,0,3364
1673924761492,3491,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-636,text,false,,80,0,972,972,null,0,0,3491
1673924761397,3597,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-544,text,false,,80,0,969,969,null,0,0,3597
1673924761740,3260,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-818,text,false,,80,0,968,968,null,0,0,3260
1673924761000,4000,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-150,text,false,,80,0,968,968,null,0,0,4000
1673924761775,3225,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-914,text,false,,80,0,968,968,null,0,0,3225
1673924761688,3313,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-793,text,false,,80,0,966,966,null,0,0,3313
1673924761740,3261,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-813,text,false,,80,0,966,966,null,0,0,3261
