timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673952312414,6115,Citizen Login,200,OK,Thread Group 1-58,text,true,,5469,349,800,800,http://10.11.200.30:3000/citizen/login,6112,0,58
1673952312460,6069,Citizen Login,200,OK,Thread Group 1-124,text,true,,5469,349,800,800,http://10.11.200.30:3000/citizen/login,6066,0,12
1673952312412,6122,Citizen Login,200,OK,Thread Group 1-26,text,true,,5469,349,800,800,http://10.11.200.30:3000/citizen/login,6122,0,59
1673952318531,5,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,200,OK,Thread Group 1-124,text,true,,648,282,800,800,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,5,0,1
1673952318531,4,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,200,OK,Thread Group 1-58,text,true,,648,282,800,800,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,4,0,1
1673952318536,6,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,200,OK,Thread Group 1-26,text,true,,648,282,800,800,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,6,0,3
1673952312421,6141,Citizen Login,200,OK,Thread Group 1-90,text,true,,5469,349,800,800,http://10.11.200.30:3000/citizen/login,6141,0,52
1673952318563,4,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,200,OK,Thread Group 1-90,text,true,,648,282,800,800,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,4,0,1
1673952312421,6152,Citizen Login,200,OK,Thread Group 1-91,text,true,,5469,349,800,800,http://10.11.200.30:3000/citizen/login,6152,0,51
1673952318574,3,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,200,OK,Thread Group 1-91,text,true,,648,282,800,800,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,3,0,1
1673952312414,6169,Citizen Login,200,OK,Thread Group 1-70,text,true,,5469,349,800,800,http://10.11.200.30:3000/citizen/login,6169,0,58
1673952312414,6171,Citizen Login,200,OK,Thread Group 1-51,text,true,,5469,349,800,800,http://10.11.200.30:3000/citizen/login,6171,0,59
1673952318584,4,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,200,OK,Thread Group 1-70,text,true,,648,282,800,800,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,4,0,1
1673952318586,3,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,200,OK,Thread Group 1-51,text,true,,648,282,800,800,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,3,0,1
1673952312413,6176,Citizen Login,200,OK,Thread Group 1-37,text,true,,5469,349,800,800,http://10.11.200.30:3000/citizen/login,6176,0,58
1673952318590,3,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,200,OK,Thread Group 1-37,text,true,,648,282,800,800,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,3,0,1
1673952312415,6215,Citizen Login,200,OK,Thread Group 1-56,text,true,,5469,349,800,800,http://10.11.200.30:3000/citizen/login,6215,0,58
1673952312415,6215,Citizen Login,200,OK,Thread Group 1-71,text,true,,5469,349,800,800,http://10.11.200.30:3000/citizen/login,6215,0,57
1673952312413,6183,Citizen Login,200,OK,Thread Group 1-16,text,true,,5469,349,800,800,http://10.11.200.30:3000/citizen/login,6183,0,58
1673952312413,6218,Citizen Login,200,OK,Thread Group 1-17,text,true,,5469,349,800,800,http://10.11.200.30:3000/citizen/login,6217,0,59
1673952312460,6179,Citizen Login,200,OK,Thread Group 1-117,text,true,,5469,349,800,800,http://10.11.200.30:3000/citizen/login,6179,0,13
1673952312414,6225,Citizen Login,200,OK,Thread Group 1-57,text,true,,5469,349,800,800,http://10.11.200.30:3000/citizen/login,6225,0,58
1673952318632,11,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,200,OK,Thread Group 1-56,text,true,,648,282,800,800,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,11,0,7
1673952318632,12,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,200,OK,Thread Group 1-16,text,true,,648,282,800,800,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,12,0,7
1673952318632,14,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,200,OK,Thread Group 1-71,text,true,,648,282,800,800,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,14,0,7
1673952318640,8,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,200,OK,Thread Group 1-117,text,true,,648,282,800,800,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,8,0,3
1673952312413,6236,Citizen Login,200,OK,Thread Group 1-4,text,true,,5469,349,800,800,http://10.11.200.30:3000/citizen/login,6229,0,59
1673952318640,10,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,200,OK,Thread Group 1-57,text,true,,648,282,800,800,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,10,0,3
1673952318633,18,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,200,OK,Thread Group 1-17,text,true,,648,282,800,800,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,18,0,6
1673952312414,6238,Citizen Login,200,OK,Thread Group 1-40,text,true,,5469,349,800,800,http://10.11.200.30:3000/citizen/login,6238,0,57
1673952318651,4,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,200,OK,Thread Group 1-4,text,true,,648,282,800,800,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,4,0,2
1673952312415,6247,Citizen Login,200,OK,Thread Group 1-60,text,true,,5469,349,800,800,http://10.11.200.30:3000/citizen/login,6247,0,58
1673952318654,10,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,200,OK,Thread Group 1-40,text,true,,648,282,800,800,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,10,0,6
1673952318663,4,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,200,OK,Thread Group 1-60,text,true,,648,282,800,800,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,4,0,0
1673952312425,6242,Citizen Login,200,OK,Thread Group 1-94,text,true,,5469,349,800,800,http://10.11.200.30:3000/citizen/login,6242,0,47
1673952312459,6213,Citizen Login,200,OK,Thread Group 1-128,text,true,,5469,349,800,800,http://10.11.200.30:3000/citizen/login,6213,0,14
1673952318669,3,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,200,OK,Thread Group 1-94,text,true,,648,282,800,800,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,3,0,1
1673952318673,4,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,200,OK,Thread Group 1-128,text,true,,648,282,800,800,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,4,0,1
1673952312413,6271,Citizen Login,200,OK,Thread Group 1-28,text,true,,5469,349,800,800,http://10.11.200.30:3000/citizen/login,6270,0,59
1673952312412,6279,Citizen Login,200,OK,Thread Group 1-9,text,true,,5469,349,800,800,http://10.11.200.30:3000/citizen/login,6279,0,60
1673952312414,6279,Citizen Login,200,OK,Thread Group 1-80,text,true,,5469,349,800,800,http://10.11.200.30:3000/citizen/login,6279,0,59
1673952318687,8,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,200,OK,Thread Group 1-28,text,true,,648,282,800,800,http://10.11.200.30:5001/_next/data/L0gkCMdaPTJBtYmpjHk2w/dashboard.json,8,0,5
